property_id,legacy_id,title,property_type,price_inr,price_formatted,bhk,bedrooms,covered_parking,location,address,city,latitude,longitude,commute_minutes,commute_mode,school_distance_km,hospital_distance_km,park_distance_km,noise_level,green_score,amenity_score,match_score,amenities,seller_id,seller_name,seller_type,seller_phone,seller_email,status,views,shortlists,enquiries,images,description
prestige_prop_001,P01,Emerald Palms Executive Suite,Apartment,5500000,₹55 Lakhs,2,2,Yes,"Avinashi Road, Peelamedu","Avinashi Road, Peelamedu",Coimbatore,11.028,77.0125,18,Car / Metro,1.2,2.1,0.4,low,92,88,96,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,452,34,12,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Sun-drenched south-facing apartment with panoramic views of the western hills. Situated inside a gated community with lush landscaped gardens, high acoustic insulation, and an on-campus pre-school."
prestige_prop_002,P02,The Urban Zenith Residences,Apartment,5800000,₹58 Lakhs,2,2,Yes,Saravanampatti Tech Zone,Saravanampatti Tech Zone,Coimbatore,11.0825,76.996,12,Walk / Scooter,2.1,1.8,0.8,low,84,95,92,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,520,42,15,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,"Contemporary 2BHK residence tailor-made for IT professionals. Features fibre-optic smart home wiring, co-working lounge, rooftop jogging track, and 24x7 power backup."
prestige_prop_003,,Prestige Green Residency,Apartment,6800000,₹68 Lakhs,3,3,Yes,Kalapatti IT Corridor,Kalapatti Main Road,Coimbatore,11.0692,77.0345,14,Car / Metro,1.5,2.4,0.6,low,95,90,94,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,410,31,11,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,Expansive 3BHK home surrounded by organic community fruit groves and solar-powered common areas. Perfect for families seeking healthy lifestyle balances.
prestige_prop_004,,Prestige Lakeview Homes,Apartment,7200000,₹72 Lakhs,3,3,Yes,Singanallur Lakefront,"Trichy Road, Near Singanallur Boat House",Coimbatore,10.9982,77.021,22,Car,1.8,2,0.2,low,96,92,90,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,485,38,14,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,Scenic waterfront living featuring floor-to-ceiling glass façades facing the tranquil Singanallur wetland sanctuary with jogging promenade and bird sanctuary views.
prestige_prop_005,,Prestige Garden Enclave,Apartment,5200000,₹52 Lakhs,2,2,Yes,Peelamedu East,"VK Road, Peelamedu",Coimbatore,11.0315,77.018,16,Metro / Walk,1.1,1.9,0.5,low,89,86,95,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,390,29,10,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,Cozy urban apartment surrounded by botanical courtyard plantings and shaded walkways. Ultra-quiet neighborhood with zero commercial traffic noise.
prestige_prop_006,,Prestige City Apartments,Apartment,7500000,₹75 Lakhs,3,3,Yes,Race Course Road,"Race Course Road, Gopalapuram",Coimbatore,11.002,76.974,20,Car,1.4,1.5,0.3,low,91,96,89,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,610,54,22,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,"High-status central Coimbatore residence with tree-lined avenues, elite social clubs, and direct connectivity to city financial districts."
prestige_prop_007,,Prestige Prime Residency,Apartment,4900000,₹49 Lakhs,2,2,Yes,Civil Aerodrome Road,"SITRA, Civil Aerodrome Post",Coimbatore,11.037,77.042,15,Scooter / Bus,2,2.2,0.9,low,83,87,93,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,430,36,13,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,Smart-budget 2BHK home within 5 minutes of international departures and Tidel Park Phase 2. High rental yield asset with verified title credentials.
prestige_prop_008,,Prestige Harmony Towers,Apartment,9200000,₹92 Lakhs,4,4,Yes,Avinashi Expressway,"Goldwins, Avinashi Road",Coimbatore,11.045,77.058,19,Car,1.6,2.5,0.7,low,93,98,86,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,575,46,18,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,"Palatial 4BHK sky condominium boasting double-height living room balconies, private clubhouse membership, infinity pool, and concierge services."
prestige_prop_009,,Prestige Elite Homes,Apartment,6500000,₹65 Lakhs,3,3,Yes,Hope College Junction,"Hope College, Avinashi Road",Coimbatore,11.026,77.008,17,Metro / Car,0.9,1.6,0.6,low,88,91,95,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,490,40,16,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,"Central, connected, and tranquil. Built with German acoustic double glazing to insulate against urban bustle while keeping premier schools and hospitals within walking distance."
prestige_prop_010,,Prestige Parkside Residences,Apartment,5600000,₹56 Lakhs,2,2,Yes,Tidel Park Road,"Near Tidel Park, Civil Aerodrome Post",Coimbatore,11.0295,77.025,8,Walk / Bicycle,1.7,2.1,0.5,low,87,93,97,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_01,Prestige Developers,Real Estate Developer,+91 98765 43210,sales@prestigedevelopers.in,active,640,58,24,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Next-door convenience to Coimbatore IT expressway. Features electric car charging stations, heated indoor pool, badminton court, and uninterrupted backup power."
